0 Barrel information
0 detector    strip    zElastics (@ 9.5MeV, angle of 67.5584)    error
0 1  1  1.60507e+01  1.31405e-01
1  2  1.52213e+01  1.06753e-01
1  4  1.51990e+01  1.24238e-01
2  1  1.51027e+01  1.08793e-01
2  2  1.37693e+01  1.13464e-01
2  3  1.67685e+01  1.25688e-01
2  4  1.76976e+01  1.08987e-01
0 4  1  1.64117e+01  1.25871e-01
0 4  2  1.43870e+01  1.10532e-01
4  3  1.48272e+01  1.90814e-01
0 4  4  1.36345e+01  2.89273e-01
5  2  1.37823e+01  2.67111e-01
6  1  1.38116e+01  2.51537e-01
7  1  2.01698e+01  1.66514e-01
7  2  1.84646e+01  3.16496e-01
7  4  1.96577e+01  7.33029e-02
8  1  2.18916e+01  8.99288e-02
8  2  2.01451e+01  1.32410e-01
0 8  3  1.70910e+01  3.71618e-01
8  4  1.80260e+01  8.80515e-02
